fccs_id,fccs_name
189,Sand pine-oak forest with sparse understory
190,Slash pine-longleaf pine/gallberry forest
191,Longleaf pine-slash pine/gallberry forest - managed with prescribed fire
196,Loblolly pine/bluestem forest
203,Sawgrass-Muhlenbergia grassland
208,Grand fir-Douglas-fir forest
210,Pinyon-Utah juniper woodland
211,Ponderosa pine forest - high density
212,Ponderosa pine forest - post thin
213,Wheatgrass-cheatgrass grassland - post prescribed burn
214,Giant sequoia-white fir-sugar pine forest
215,Douglas-fir-madrone/tanoak forest
216,Gambel oak-bigtooth maple forest
217,Gambel oak-bigtooth maple forest - post prescribed burn
218,Gambel oak/big sagebrush shrubland
219,Ponderosa pine-white fir/quaking aspen forest
220,Ponderosa pine-white fir/quaking aspen forest - post prescribed burn
221,Wheatgrass-ryegrass grassland
222,Interior ponderosa pine forest
223,Douglas-fir-white fir-interior ponderosa pine forest - post wildfire
224,Quaking aspen forest
225,Quaking aspen forest - post prescribed burn
226,White fir-gambel oak forest
227,White fir forest
228,Interior ponderosa pine-limber pine forest
229,Ponderosa pine/Utah juniper forest
230,Pinyon-Utah juniper forest - post prescribed burn
231,Gambel oak-Rocky Mountain juniper-ponderosa pine forest
232,Mesquite savanna
233,Sagebrush shrubland
234,Sagebrush shrubland - post prescribed burn
235,Idaho fescue-bluebunch wheatgrass grassland - postfire
236,Tobosa-grama grassland
237,Huckleberry-heather shrubland
238,Pacific silver fir-mountain hemlock forest
239,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire
240,Saw palmetto/three-awned grass shrubland
241,Longleaf-loblolly pine forest with hurricane damage
242,Longleaf-loblolly pine forest with hurricane damage - post prescribed burn
243,Pitch pine/scrub oak shrubland
260,Ohia/uluhe forest - 5 years post wildfire
261,Pili grass-broomsedge bluestem grassland - 5 years post wildfire
262,Molasses grass grassland - 5 years post prescribed fire
263,Ohia/broomsedge bluestem savanna - 5 years post prescribed burn
264,Post-blackjack oak forest
265,Balsam fir-white spruce-mixed hardwood forest
266,Sugar maple-basswood forest
267,American beech-yellow birch-sugar maple-red spruce forest
268,American beech-yellow birch-sugar maple-eastern hemlock forest
269,Sugar maple-yellow poplar-American beech-oak forest
270,Red spruce-Fraser fir/rhododendron forest
272,Mangrove forest
273,Engelmann spruce-Douglas-fir-white fir-ponderosa pine forest
274,American beech-sugar maple forest
275,Chestnut-white-northern red oak forest
276,Oak-pine-magnolia forest
279,Black spruce-northern white cedar-larch forest
280,Bluestem-Gulf cordgrass grassland
281,Shortleaf pine-post oak-black oak forest
282,Loblolly pine forest
283,Willow-laurel-water oak forest
284,Green ash-American elm-silver maple-cottonwood forest
286,Limber pine-ponderosa pine forest
287,Eastern white pine-eastern hemlock forest
288,Bald cypress-water tupelo forest
289,Pond cypress/muhly-sawgrass savanna
291,Longleaf-slash pine/saw palmetto forest
301,Fremont cottonwood-California sycamore forest
302,Willow/sedge grassland
303,Cottonwood/willow savanna
304,Engelmann spruce-subalpine fir/horsetail forest
305,Red alder forest
306,Knobcone pine forest
307,Paloverde shrubland
308,Low sagebrush shrubland
309,Blackbrush shrubland
310,Greasewood shrubland
311,Saltbush shrubland
312,Gambel oak/sagebrush shrubland
313,Mountain mahogany shrubland
314,Limber pine-bristlecone pine forest
315,Showy sedge-black alpine sedge grassland
316,Coyotebush-ceanothus shrubland
317,Bigtooth maple forest
318,Bluejoint reedgrass-water sedge grassland
319,Pacific silver fir-Sitka alder forest
320,Western larch forest
321,Western hemlock-Alaska cedar forest
322,Sitka spruce-western hemlock forest
323,Quaking aspen/sagebrush boreal woodland
324,White spruce woodland
325,White spruce-mountain hemlock forest
326,Willow- birch shrubland
327,Marsh Labrador tea/cottongrass grassland
328,Hemlock / sedge-cottongrass savanna
329,Mountain heath tundra shrubland
330,American dunegrass grassland
331,Sitka alder-salmonberry shrubland
332,Balsam poplar-paper birch forest
333,Dryas tundra shrubland
334,Mountain heather tundra shrubland
335,Sweetgale shrubland
336,Lyngbye's sedge-alkaligrass grassland
337,Softstem bulrush-needle spikerush grassland
338,Water sedge-tall cottongrass grassland
339,Nootka lupine-sedge grassland
340,Pacific maritime dwarf shrub wetland
341,Arctic tussock tundra shrubland
342,Hawai'i bog shrubland
343,Hawai'i wet cliff shrubland
344,Montane-subalpine dry grassland
345,Hawai'i montane-subalpine mesic grassland
346,Hawai'i alpine dwarf shrubland
347,Hawai'i dry cliff shrubland
348,Hawai'i dry coastal strand shrubland
349,Hawai'i subalpine mesic shrubland
350,Balsam poplar-white spruce forest
351,Ericaceous bog shrubland
352,Desert sparse shrubland
353,Semi-desert grassland and steppe
354,Havard oak shrubland
355,Hemlock-Alaska cedar / blueberry forest
356,Black spruce-tamarack/sphagnum moss forest
357,Balsam poplar-black cottonwood forest
358,Alder and willow tall swamp shrubland
359,Arctic sedge tussock lichen tundra shrubland
360,Oregon white oak forest
361,Oregon white oak  -- ponderosa pine forest
401,Holly-privet shrubland
402,Pine/holly-privet forest
403,Post-blackjack-white oak forest
404,Yellow poplar-sugar maple-basswood forest
405,Northern red oak montane forest
406,American beech-southern magnolia-oak forest
407,Darlington oak forest
408,Quaking aspen-bur oak forest
409,Virginia pine-chestnut oak/little bluestem forest
410,Table Mountain pine-chestnut oak forest
411,Ashe juniper-oak savanna
412,Dwarf bilberry-bog blueberry shrubland
413,Pin oak/bluestem forest
414,Eastern redcedar/big bluestem savanna
415,Bluestem-forb grassland
416,Chinkapin oak-eastern redcedar/bluestem savanna
417,Little bluestem-blackseed speargrass grassland
418,White spruce/juniper/little bluestem savanna
419,Blackjack oak-post oak/bluestem savanna
420,Big bluestem-bluejoint grassland
421,Chinkapin oak-bur oak/giant cane forest
422,Post oak-shortleaf pine/bluestem-Indiangrass savanna
423,Oak/bluestem-Indiangrass savanna
424,Pondcypress/dahoon holly/sedge forest
425,Swamp tupelo-sweetbay magnolia forest
426,Sugarberry/acacia forest
427,Red spruce-northern white cedar-tamarack forest
428,Melaleuca forest
429,Black locust forest
430,White oak-southern red oak forest
431,Chinkapin oak-Shumard oak forest
432,Florida poisontree-West Indian mahogany forest
433,Pine-oak/American beachgrass savanna
434,Post oak-southern red oak/little bluestem-Indiangrass forest
435,Little bluestem-buffalograss grassland
436,Shore little bluestem-paspalum grassland
437,Saltmeadow cordgrass-switchgrass grassland
438,Pondcypress/pond apple forest
439,Pondcypress/swamp titi/maidencane savanna
440,Pondcypress-cabbage palm-strangler fig forest
441,Red maple-black ash/common winterberry forest
442,Bulrush grassland
443,Prairie cordgrass-bluejoint grassland
445,Woollyfruit sedge-yellow sedge grassland
448,Bald cypress-tupelo/swamp titi forest
